events,transcript,recalled,recall_duration,recall_wordcount
28,"And he ends up getting hit by a car, and then his shoes fly off and they end up on the ground, and it's basically explained, like how did these shoes get on the ground.",1,8,35
29,,0,,0
30,"And this real matter-of-fact narrator, he's like ""this guy went to work today.” ""And this guy was hoping he'd get a promotion and then he didn't get the promotion.""",1,9,29
31,,0,,0
32,"And there's this girl at the office that he likes and he wants to be with her, and then he didn't get the promotion and he's all pissed off and then some other guy is going to be with the girl, and he got the promotion.",1,8,46
33,"So the narrator's like ""so he decides to kill the guy.""",1,3,11
34,"And then he can't take his body in the elevator because he's going to get blood all over the place. So he takes him up the stairs, and then he runs into this other person who's going up the stairs, and then,  I think he has to kill that person too, and then, and then he realizes what he's done and he's got to jump out the window and kill himself ",1,13,73
35,"I think he has to kill that person too, and then, and then he realizes what he's done and he's got to jump out the window and kill himself ",1,4,30
36,,0,,0
37,"It starts out like a couple hundred years ago as a big mountain and then like over all the years, you know you see its lifespan.",1,4,26
38,"People keep doing stuff to it; first, they took it down, they made it into a, they ground it down and made it into a gristmill ",1,7,27
39,"and after that, it got ground down more, and then it ended up getting made into a cannon ball for this, to be used in the Civil War. And they shot it out of a cannon and then it ended up in the ocean.",1,8,44
40,"And then it washed up on the beach and it became a fossil, and then it ended up in New York probably, what looked like in the 30's.",1,5,28
41,"And then it washed up on the beach and it became a fossil, and then it ended up in New York probably, what looked like in the 30’s. They put it in a museum, and then it ended up leaving the museum, and then it was on the street, and then it got ran over by a street sweeper.",1,10,59
42,"They put it in a museum, and then it ended up leaving the museum, and then it was on the street, and then it got ran over by a street sweeper.",1,5,31
43,"And it became sand, and then they used the sand to make a lens for a telescope, which got blasted up into space.",1,5,23
44,"And it became sand, and then they used the sand to make a lens for a telescope, which got blasted up into space.",1,5,23
45,And then it started its life over again on a new planet. It became another mountain again.,1,5,17
46,"I don't know, he had a British accent, and he realizes he's in some weird village, somewhere in Europe and he has no idea where he's at or how he got there, and he's trying to find out where he is. Nobody wants to tell him. He's at a restaurant and he's like can you give me directions, how to get out of here, and the waitress at the restaurant doesn't want to tell him.",1,14,75
47,"And then he goes and tries to make a call from the phone box. He doesn't know the number so the operator doesn't want to help him and then he uses some kind of weird information thing to get a taxi, and the taxi comes, and she's like I can only take you like local in town.",1,12,57
48,"He doesn't know the number so the operator doesn't want to help him and then he uses some kind of weird information thing to get a taxi, and the taxi comes, and she's like I can only take you like local in town.",1,9,43
49,,0,,0
50,,0,,0
51,"So he goes as far as he can and then he ends up at a store, he tries to get a map, and they won't give him a map that shows him like anything outside of the village and where they are. He just basically can't figure out where he is.",1,7,51
52,"It's this guy, he's in an office, for whatever reason, he printed out a big black circle on a piece of paper that just happened to come out of the copy machine for some odd reason. It didn't show why.",1,9,40
53,"And then he realizes that he could, it's actually a gateway to another dimension. He could stick his hand inside the black hole and then he realizes that when he puts it up against something, that he could put his hand through whatever he puts the paper up against.",1,11,49
54,"So he realizes that he could use it to steal candy out of the vending machine, and then he realizes that he could use it to steal money out of the vault in his boss' office.",1,7,36
55,"So he went and did that and then he got greedy and then he ended up like going all the way inside the black hole, and he got stuck inside the vault because the piece of paper fell off of it. So basically all of the money was taken out of the vault, and he was trapped inside.",1,12,58
56,"There's these these two people that work in this office, that kind of have crush on each other, they're kind of in love with each other, ",1,4,27
57,"and then they keep making pictures for the other one with post-it notes, and the pictures keep getting more and more detailed until ",1,5,24
58,"and then they keep making pictures for the other one with post-it notes, and the pictures keep getting more and more detailed until ",1,5,24
59,"at the end the guy finally makes a giant like mural of the two of them together, made entirely out of post-it notes on the wall in the back.",1,5,29
60,"Like this guy, he was standing on the street waiting for a bus, and this frantic woman came up to him and approached him, you know something's obviously wrong.",1,5,29
61,"Like this guy, he was standing on the street waiting for a bus, and this frantic woman came up to him and approached him, you know something's obviously wrong. I thought you know maybe some kind of domestic violence situation or something because she was really frantic, and she was so frantic she didn't even put her truck in parking, it's like rolling away. She runs up to him and she's got to use his phone,  and she takes his phone and she's screaming at somebody and she's all pissed off, then drops the phone on the ground and breaks it, and the guy's mad and he's approaching her saying you know you need to give me back money for the phone and then ",1,24,126
62,"then drops the phone on the ground and breaks it, and the guy's mad and he's approaching her saying you know you need to give me back money for the phone and then ",1,7,34
63,"the guy she was screaming on the phone comes. And he's been sitting there in the car watching them the whole time, like blasting classical music really loud and it seems weird.",1,7,32
64,"And then, and then he's like who's this guy, how do you know him? And then, and then he's like who's this guy, how do you know him? And the guy realizes who he was, turned out he was some famous magician from some casino and that woman was his assistant and they're having, and he's a really bad person and they're having some kind of problems.",1,18,67
65,,0,,0
66,"and then it turns out the guy is some kind of evil demon or something and he's got like demonic powers and he starts hypnotizing the guy. It makes his eyes roll back in his head, then he passes out.",1,7,40
67,He then turns into a dog.,1,1,6
68,"And then we realize at the end that he's turned other people into dogs too, because he's not only a magician, he's got some demonic powers or something.",1,8,28
